station_code;station_name;year;month;absolute_max_temp;average_max_temp;absolute_min_temp;average_min_temp;average_month_temp;min_floor_temp;monthly_rainfall_sum_mm;max_daily_rainfall_sum;monthly_sunhours_sum;max_snow_cover;num_of_days_snow_cover;num_of_days_rainfall;num_of_days_snowing;num_of_days_rainfall_snowing;num_of_days_hail;num_of_days_fog;num_of_days_blurring;num_of_days_rime;num_of_days_glaze;num_of_days_low_blizzard;num_of_days_high_blizzard;num_of_days_zmetnienie_XD;num_of_days_plus_10m_s;num_of_days_plus_15m_s;num_of_days_storm;num_of_days_dew;num_of_days_hoarfrost;autumn;spring;summer;winter
349190625;ZAKOPANE;1961;1;8.5;-0.3;-22.8;-10.8;-5.7;-27.6;21.1;9.2;106.4;10;30;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1961;2;13.5;3.2;-17.2;-6.4;-1.5;-23.3;37.2;10.7;125.5;21;27;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1961;3;15.6;6.7;-10.0;-0.9;2.8;-18.0;74.2;12.9;107.2;18;15;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1961;4;21.2;14.3;-4.9;2.0;8.5;-6.6;30.4;10.0;222.4;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1961;5;20.5;12.9;-1.6;3.7;8.2;-4.2;131.2;24.5;117.8;0;0;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1961;6;27.5;20.1;3.3;8.1;14.3;1.2;135.9;37.4;212.8;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1961;7;27.1;18.7;2.2;7.4;13.3;-0.4;176.9;51.1;191.2;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1961;8;29.9;19.7;3.2;8.4;14.0;0.7;102.8;23.5;183.6;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1961;9;26.6;19.5;-1.6;5.7;12.2;-5.0;24.1;7.7;230.7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1961;10;19.1;14.3;-2.1;3.2;8.4;-5.6;69.8;17.8;155.0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1961;11;18.3;6.4;-11.9;-1.3;1.9;-18.0;106.7;48.4;73.2;32;12;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1961;12;18.4;-0.2;-24.9;-10.6;-5.4;-33.1;90.8;28.3;58.8;42;25;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1962;1;7.0;1.7;-19.3;-6.7;-2.8;-23.9;48.0;12.0;80.5;60;31;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1962;2;6.9;-0.9;-21.8;-9.5;-5.1;-28.0;94.6;15.3;46.8;105;28;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1962;3;13.0;0.5;-18.9;-8.4;-3.7;-27.3;61.9;9.7;81.0;72;31;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1962;4;22.2;11.6;-4.4;1.6;6.6;-9.0;110.1;56.7;150.5;30;10;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1962;5;19.8;13.0;-5.1;3.4;8.0;-7.3;162.7;36.3;120.3;8;2;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1962;6;27.0;15.3;-0.2;5.3;10.3;-3.6;212.3;44.4;128.8;3;3;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1962;7;26.8;17.8;0.7;7.3;12.6;-2.4;124.0;44.4;173.1;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1962;8;28.3;21.4;2.0;9.1;15.2;-2.6;47.2;15.6;207.0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1962;9;24.9;15.9;-2.7;3.8;9.5;-6.5;71.8;17.7;172.4;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1962;10;19.2;12.7;-3.1;0.8;6.1;-6.9;12.9;5.3;191.2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1962;11;15.2;6.1;-5.7;-0.3;2.8;-9.8;185.4;33.4;53.1;43;14;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1962;12;7.4;-2.2;-24.4;-11.8;-7.0;-34.5;56.9;20.6;50.1;52;31;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1963;1;7.4;-7.3;-26.8;-15.8;-11.4;-34.3;41.1;14.8;40.6;69;31;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1963;2;4.5;-2.9;-28.1;-14.5;-8.9;-38.5;32.7;12.4;117.4;88;28;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1963;3;12.6;3.3;-24.0;-7.0;-1.8;-35.0;24.6;11.1;127.4;74;31;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1963;4;18.9;10.8;-9.5;0.5;0.0;-16.5;76.8;34.7;139.2;9;5;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1963;5;23.4;16.3;1.7;5.0;10.4;-1.0;109.3;28.5;136.9;0;0;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1963;6;29.0;18.9;-1.0;8.1;13.5;-3.2;91.5;16.8;156.1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1963;7;28.1;22.0;5.3;10.1;15.8;1.6;100.8;27.2;200.7;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1963;8;28.2;21.1;3.1;9.9;15.5;0.3;181.0;50.0;173.5;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
349190625;ZAKOPANE;1963;9;24.1;18.4;0.7;7.1;12.0;-1.5;82.0;14.5;154.7;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1963;10;19.6;10.8;-4.5;2.1;5.9;-8.9;117.6;42.4;112.2;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1963;11;17.9;10.7;-6.7;1.9;6.0;-16.4;58.7;19.0;77.4;5;1;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
349190625;ZAKOPANE;1963;12;8.2;-2.2;-22.3;-11.3;-7.3;-32.3;24.6;9.0;73.2;30;26;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1964;1;4.0;-0.9;-22.3;-12.3;-7.5;-28.5;19.7;3.5;123.6;25;31;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1964;2;6.5;-1.0;-21.3;-9.7;-5.6;-30.6;65.8;11.9;105.7;84;29;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
349190625;ZAKOPANE;1964;3;10.3;0.3;-16.1;-7.9;-3.9;-21.0;47.6;13.6;86.9;46;31;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1964;4;18.6;11.2;-5.0;0.5;5.5;-9.8;90.4;18.6;149.6;15;4;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1964;5;21.2;14.9;-0.9;3.6;9.1;-3.9;89.7;27.3;180.7;0;0;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
349190625;ZAKOPANE;1964;6;26.5;21.5;4.1;9.8;15.6;0.6;190.8;61.5;169.9;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
